Key,English Text,Current German Translation,Suggested German Translation,Notes
Goblin,Goblin,Goblin,Goblin,already appropriate (race name)
Golden Lotus,Golden Lotus,Goldener Lotus,Goldener Lotus,already appropriate (faction name)
Guild Vendor,Guild Vendor,Gildenhändler,Gildenhändler,already appropriate
Halaa,Halaa,Halaa,Halaa,already appropriate (place name)
Hallow's End,Hallow's End,Schlotternächte,Schlotternächte,already appropriate (event name)
Hearthstone,Hearthstone,Hearthstone,Hearthstone,already appropriate (brand/game name)
Heirlooms,Heirlooms,Erbstücke,Erbstücke,already appropriate
Honor,Honor,Ehre,Ehre,already appropriate
Horde,Horde,Horde,Horde,already appropriate
Human,Human,Mensch,Mensch,already appropriate (race name)
Island Expedition,Island Expedition,Inselexpedition,Inselexpedition,already appropriate (feature name)
Jewelcrafting,Jewelcrafting,Juwelierskunst,Juwelierskunst,already appropriate (profession name)
Kun-Lai Vendor,Kun-Lai Vendor,Kun-Lai-Händler,Kun-Lai-Händler,already appropriate
Kurenai/The Mag'har,Kurenai/The Mag'har,Kurenai/Die Mag'har,Kurenai/Die Mag'har,already appropriate (faction names)
Kyrian,Kyrian,Kyrianer,Kyrianer,already appropriate (covenant name)
LEGION,LEGION,LEGION,LEGION,already appropriate (acronym)
Leatherworking,Leatherworking,Lederverarbeitung,Lederverarbeitung,already appropriate (profession name)
Legion,Legion,Legion,Legion,already appropriate (expansion name)
Love is in the Air,Love is in the Air,Liebe liegt in der Luft,Liebe liegt in der Luft,already appropriate (event name)
Lunar Festival,Lunar Festival,Mondfest,Mondfest,already appropriate (event name)
MOP,MOP,MOP,MOP,already appropriate (acronym)
Mark of Honor,Mark of Honor,Ehrenabzeichen,Ehrenabzeichen,already appropriate (currency name)
Maw Assaults,Maw Assaults,Angriffe auf den Schlund,Angriffe auf den Schlund,already appropriate (event name)
Medals,Medals,Medaillen,Medaillen,already appropriate
Missions,Missions,Missionen,Missionen,already appropriate
Mists of Pandaria,Mists of Pandaria,Mists of Pandaria,Nebel von Pandaria,used established German expansion name
Mount Collection,Mount Collection,Reittiersammlung,Reittiersammlung,already appropriate
Mythic +,Mythic +,Mythisch +,Mythisch +,already appropriate
Necrolords,Necrolords,Nekrolords,Nekrolords,already appropriate (covenant name)
Netherwing,Netherwing,Netherschwingen,Netherschwingen,already appropriate (faction name)
Night Elf,Night Elf,Nachtelf,Nachtelf,already appropriate (race name)
Night Fae,Night Fae,Nachtfae,Nachtfae,already appropriate (covenant name)
Noblegarden,Noblegarden,Nobelgarten,Nobelgarten,already appropriate (event name)
Old Anniversary Mounts,Old Anniversary Mounts,Alte Jubiläumsreittiere,Alte Jubiläumsreittiere,already appropriate
Old Promotion Mounts,Old Promotion Mounts,Alte Promo-Reittiere,Alte Werbeaktions-Reittiere,used German word for “promotion”
Oozing Necroray Egg,Oozing Necroray Egg,Tropfendes Necroray-Ei,Tropfendes Necroray-Ei,already appropriate (item name)
Orc,Orc,Ork,Ork,already appropriate (race name)
Order of the Cloud Serpent,Order of the Cloud Serpent,Orden der Wolkenschlange,Orden der Wolkenschlange,already appropriate (faction name)
Original Epic Mounts,Original Epic Mounts,Ursprüngliche epische Reittiere,Ursprüngliche epische Reittiere,already appropriate
Other,Other,Andere,Andere,already appropriate
Overview,Overview,Übersicht,Übersicht,already appropriate
PVP,PVP,PVP,PVP,already appropriate
Paladin,Paladin,Paladin,Paladin,already appropriate (class name)
Pandaren,Pandaren,Pandaren,Pandaren,already appropriate (race name)
Paragon Reputation,Paragon Reputation,Paragon-Ruf,Paragon-Ruf,already appropriate
Pinned,Pinned,Angeheftet,Angeheftet,already appropriate
Plunderstorm,Plunderstorm,Plündersturm,Plündersturm,already appropriate (event name)
Pre-Launch Event,Pre-Launch Event,Vorab-Event,Vorab-Event,already appropriate
Primal Eggs,Primal Eggs,Ureier,Urzeitliche Eier,more idiomatic translation for “Primal Eggs”
Product Promotion,Product Promotion,Produktpromotion,Produkt-Werbeaktion,more idiomatic phrasing
Profession,Profession,Beruf,Beruf,already appropriate
Professions,Professions,Berufe,Berufe,already appropriate
Promotion,Promotion,Promotion,Werbeaktion,translated to German term
Protoform Synthesis,Protoform Synthesis,Protoform-Synthese,Protoform-Synthese,already appropriate (feature name)
Quest,Quest,Quest,Quest,already appropriate
Raid,Raid,Schlachtzug,Schlachtzug,already appropriate
Raid Drop,Raid Drop,Schlachtzugsbeute,Schlachtzugsbeute,already appropriate
Rare Drops,Rare Drops,Seltene Beute,Seltene Beute,already appropriate
Rare Spawn,Rare Spawn,Seltener Gegner,Seltener Gegner,already appropriate
Recruit-A-Friend,Recruit-A-Friend,Werbt einen Freund,Werbt einen Freund,already appropriate (official term)
Remix MOP,Remix MOP,Remix MOP,Remix MOP,already appropriate
Renown,Renown,Ruhm,Ruhm,already appropriate (currency name)
Reputation,Reputation,Ruf,Ruf,already appropriate
Riddle,Riddle,Rätsel,Rätsel,already appropriate
Riddles,Riddles,Rätsel,Rätsel,already appropriate
SL,SL,SL,SL,already appropriate (acronym)
Scroll of Resurrection,Scroll of Resurrection,Rolle der Auferstehung,Rolle der Auferstehung,already appropriate (item name)
Secret,Secret,Geheimnis,Geheimnis,already appropriate
Sha'tari Skyguard,Sha'tari Skyguard,Sha'tari Himmelswache,Sha'tari-Himmelswache,added hyphen (official faction name styling)
Shado-Pan,Shado-Pan,Shado-Pan,Shado-Pan,already appropriate (faction name)
Shadowlands,Shadowlands,Shadowlands,Schattenlande,used German term (in quests/story)
Siren Island,Siren Island,Sireninsel,Sireninsel,already appropriate
Stables,Stables,Ställe,Ställe,already appropriate
TBC,TBC,TBC,TBC,already appropriate (acronym)
Tailoring,Tailoring,Schneiderei,Schneiderei,already appropriate (profession name)
Talon's Vengeance,Talon's Vengeance,Klaue's Rache,Rache der Kralle,corrected faction name (official term)
Tauren,Tauren,Tauren,Tauren,already appropriate (race name)
The Burning Crusade,The Burning Crusade,The Burning Crusade,Der brennende Kreuzzug,used official German expansion name
The Tillers,The Tillers,Die Ackerbauern,Die Ackerbauern,already appropriate (faction name)
The War Within,The War Within,Der Krieg im Inneren,Der Krieg im Inneren,already appropriate (translated expansion name)
Timeless Isle,Timeless Isle,Zeitlose Insel,Zeitlose Insel,already appropriate (location name)
Timewalking,Timewalking,Zeitwanderung,Zeitwanderung,already appropriate (event name)
Timewalking Alterac Valley,Timewalking Alterac Valley,Zeitwanderung: Alteractal,Zeitwanderung: Alteractal,already appropriate (event name)
Tinkering,Tinkering,Tüftelei,Tüftelei,already appropriate
Torghast,Torghast,Torghast,Torghast,already appropriate (proper name)
Tormentors,Tormentors,Peiniger,Peiniger,already appropriate
Toy,Toy,Spielzeug,Spielzeug,already appropriate
Trading Card Game,Trading Card Game,Sammelkartenspiel,Sammelkartenspiel,already appropriate
Trading Post,Trading Post,Handelsposten,Handelsposten,already appropriate (feature name)
Treasures,Treasures,Schätze,Schätze,already appropriate
Troll,Troll,Troll,Troll,already appropriate (race name)
Undead,Undead,Untoter,Untoter,already appropriate (race name)
Undermine,Undermine,Undermine,Undermine,already appropriate (place name)
Unobtainable,Unobtainable,Nicht erhältlich,Nicht erhältlich,already appropriate
Unobtainable Raid Mounts,Unobtainable Raid Mounts,Nicht erhältliche Schlachtzugsreittiere,Nicht erhältliche Schlachtzugsreittiere,already appropriate
Vanilla,Vanilla,Vanilla,Vanilla,already appropriate
Vendor,Vendor,Händler,Händler,already appropriate
Venthyr,Venthyr,Venthyr,Venthyr,already appropriate (covenant name)
Vicious Saddle,Vicious Saddle,Tückischer Sattel,Boshafter Sattel,used in-game term for PvP reward
Visions,Visions,Visionen,Visionen,already appropriate
WOD,WOD,WOD,WOD,already appropriate (acronym)
WOTLK,WOTLK,WOTLK,WOTLK,already appropriate (acronym)
Warcraft III Reforged,Warcraft III Reforged,Warcraft III Reforged,Warcraft III Reforged,already appropriate
Warfront: Arathi,Warfront: Arathi,Kriegsfront: Arathi,Kriegsfront: Arathi,already appropriate (feature name)
Warfront: Darkshore,Warfront: Darkshore,Kriegsfront: Dunkelküste,Kriegsfront: Dunkelküste,already appropriate (feature name)
Warlock,Warlock,Hexenmeister,Hexenmeister,already appropriate (class name)
Warlords of Draenor,Warlords of Draenor,Warlords of Draenor,Die Kriegsherren von Draenor,translated expansion name for consistency
Winter Veil,Winter Veil,Winterhauchfest,Winterhauchfest,already appropriate (event name)
WoW Anniversary Mounts,WoW Anniversary Mounts,WoW Jubiläumsreittiere,WoW Jubiläumsreittiere,already appropriate
WoW Classic,WoW Classic,WoW Classic,WoW Classic,already appropriate
Worgen,Worgen,Worgen,Worgen,already appropriate (race name)
World Boss,World Boss,Weltboss,Weltboss,already appropriate
World Events,World Events,Weltereignisse,Weltereignisse,already appropriate
WorldEvents,WorldEvents,Weltereignisse,Weltereignisse,already appropriate
Wrath of the Lich King,Wrath of the Lich King,Wrath of the Lich King,Der Zorn des Lichkönigs,used official German expansion name
Zone,Zone,Zone,Zone,already appropriate
Incursion,Incursion,Invasion,Übergriff,more accurate term (used for faction assaults)
Horrific Visions,Horrific Visions,Schreckliche Visionen,Schreckliche Visionen,already appropriate (feature name)
Ashran,Ashran,Ashran,Ashran,already appropriate (place name)
Ctrl + Right Click to pin uncollected mounts,Ctrl + Right Click to pin uncollected mounts,Strg + Rechtsklick, um nicht gesammelte Reittiere anzuheften,Strg + Rechtsklick, um nicht gesammelte Reittiere anzuheften,already appropriate (translated correctly)
Mount Collection Log Settings,Mount Collection Log Settings,Reittiersammlungsprotokoll Einstellungen,Reittiersammlungsprotokoll-Einstellungen,more natural phrasing (compound noun)
Main Window Options,Main Window Options,Hauptfensteroptionen,Hauptfensteroptionen,already appropriate
Main Window Opacity,Main Window Opacity,Hauptfenster-Transparenz,Hauptfenster-Transparenz,already appropriate
Changes the opacity of the main window,Changes the opacity of the main window,Ändert die Transparenz des Hauptfensters,Ändert die Transparenz des Hauptfensters,already appropriate
Reset Opacity,Reset Opacity,Transparenz zurücksetzen,Transparenz zurücksetzen,already appropriate
Reset to default opacity,Reset to default opacity,Auf Standardtransparenz zurücksetzen,Auf Standardtransparenz zurücksetzen,already appropriate
Progress Bar Settings,Progress Bar Settings,Fortschrittsbalken-Einstellungen,Fortschrittsbalken-Einstellungen,already appropriate
Statusbar Texture,Statusbar Texture,Statusleisten-Textur,Statusleisten-Textur,already appropriate
Set the statusbar texture.,Set the statusbar texture.,Statusleisten-Textur festlegen.,Statusleisten-Textur
